"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-01","0.0","19.4","10.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-02","0.0","23.3","13.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-03","0.0","25.0","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-04","3.8","22.8","16.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-05","0.0","18.3","15.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-06","0.0","20.6","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-07","0.0","22.8","16.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-08","0.0","24.4","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-09","0.0","19.4","15.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-10","2.8","18.9","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-11","0.0","21.7","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-12","0.0","20.6","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-13","0.0","20.6","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-14","0.0","24.4","16.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-15","0.0","26.1","17.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-16","6.4","24.4","13.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-17","0.0","16.1","10.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-18","0.0","14.4","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-19","0.0","18.9","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-20","0.0","23.9","13.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-21","0.0","22.8","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-22","0.0","20.6","13.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-23","0.3","15.0","8.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-24","0.8","15.0","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-25","5.8","22.8","12.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-26","83.8","17.2","12.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-27","4.1","16.1","11.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-28","0.0","13.9","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-29","10.4","13.3","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-30","14.5","17.8","11.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-31","1.0","17.2","12.8"
